cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22
102,la Bastille,Fu-,- Bastille,Bastille jusqu’,place de la Bastille,Etille,Greenwald,Pastilles,,,,,,,,,,,,,,,
103,Mlle Marthe,Barthélemy,Marthe,Mile Marthe,,,,,,,,,,,,,,,,,,,
104,Italiens,italie,Italie,l'Italie,Chevalier,J,d'Italie,Lita,Italienne,,,,,,,,,,,,,,
105,Ibérien,Rogérius,Série,Algérie,,,,,,,,,,,,,,,,,,,
106,Reynolds,Languedoc,Jn,Nolan-,fum,,,,,,,,,,,,,,,,,,
107,Empoigne,empoignè==,Pouce,Orbigny,Savigny,,,,,,,,,,,,,,,,,,
108,hôtel du Commerce,É,l’'Almanach du Commerce,communauté M,sach@æ,,,,,,,,,,,,,,,,,,
109,Quitter,Blanqui,Aquin,Qui,Où es,,,,,,,,,,,,,,,,,,
110,sesi,Prusse,Russe,Russes,Russie,,,,,,,,,,,,,,,,,,
111,Pussardier,Picardie,Dussardier,Pradier,Dussar-,,,,,,,,,,,,,,,,,,
112,"rue
Coq-Héron",Cong-Héron,Rose Bron,,,,,,,,,,,,,,,,,,,,
113,Archevêque,mœopathie,Hiérarchie,Opéra,,,,,,,,,,,,,,,,,,,
114,Appar,Parlotte,Parly,,,,,,,,,,,,,,,,,,,,
115,quai d'Orsay,voluplueux,quai Voltaire,"quai Hapo-
léon",,,,,,,,,,,,,,,,,,,
116,Montereau,Valle-de-Montereau,port de Montereau,,,,,,,,,,,,,,,,,,,,
117,Bureaux,Beaux-Arts,Agneaux,Moreau,Mrinceaux,,,,,,,,,,,,,,,,,,
118,La Fougère,Moulin-Rouge,Peaux-Rouges,rouen,Bohème,,,,,,,,,,,,,,,,,,
119,Saint-Cloud,Saint-Gervais,île Saint-Louis,Saint-Valéry,Saint-Anne,chapelle Saint-Satur-,Saint-Roch,Saint-Paul,Saint-Louis,"Saint
Ferdinand",Saint-François,Saint-,quai Saint-Bernard,Saint-Thomas,Saint-Nicolas,Saint-Jacques,"Saint-Satur-""
nin",Saint-Germain,Mont-Saint-Michel,Saint-Marceau,Saintonge,Saint-Honoré,Saint-Antoine
120,ask,l’,Ivry,,,,,,,,,,,,,,,,,,,,
121,teil,Corbeil,le soleil,Vieil,rueil,Creil,,,,,,,,,,,,,,,,,
122,Cavaignat,Dunod,Laval,val #,S-,,,,,,,,,,,,,,,,,,
123,Chaillot,Mail,Maillot,N,"porte
Maillot",,,,,,,,,,,,,,,,,,
124,rue du Marché-aux-,Marché-aux-,place du Marché,Mare-aux-Fées,Marché,,,,,,,,,,,,,,,,,,
125,la Pâtisserie,PUis,Suissesse,Suisse,buis,suischagrin,suisse,la têbaisser,,,,,,,,,,,,,,,
126,géne,M,Isle,Arnoux,Hnoux,Luoux,Pidoux,Joux,Ledoux,,,,,,,,,,,,,,
127,Bourgogne,Luxembourg,Bourse,bourgesï,de Bourges,"vi-
Mages",bourgogne,Bourges,,,,,,,,,,,,,,,
128,I'Oit,Lyon,Prends,Rendez,Vicomte,comprend#r,Comprenez,,,,,,,,,,,,,,,,
129,expansif,Ans,Aïnsi,,,,,,,,,,,,,,,,,,,,
130,qu’,._.,jusqu’,pau,,,,,,,,,,,,,,,,,,,
131,Trois,Quatre-trois,Trois-,Trois-Maries,Trois-Rois,Trois-Frères-Provençaux,lip-froid,,,,,,,,,,,,,,,,
132,manche,punch,la manche,,,,,,,,,,,,,,,,,,,,
133,Dijon,Jons,Jonc,,,,,,,,,,,,,,,,,,,,
134,"la der-f
nière lettre du mot",théâtre Bobino,théâtre du,,,,,,,,,,,,,,,,,,,,
135,Charte,Partout,Art,HeBortez,Parthénon,Partez,partez,Sortez,,,,,,,,,,,,,,,
136,Marseille,Vazeille,corbeillesde,Lille,s’éveille,,,,,,,,,,,,,,,,,,
137,conseil général de l'Aube,Aube,l'Aube,,,,,,,,,,,,,,,,,,,,
138,Prado,rue Paradis-Prisonnière,Paradis,le Pays,rue Paradis,I,Rue Paradis,rue de Paradis,,,,,,,,,,,,,,,
139,Mouffetard,Refusaël,D,passage Jouffroy,Jouffroy,Anjou,Godefroy,,,,,,,,,,,,,,,,
140,Mnamnés,s’harmonica,Pharamond,Mondor,Adjugé,,,,,,,,,,,,,,,,,,
141,Mar terre,s’exalter,santerre,angleterre,Terre,Angleterre,,,,,,,,,,,,,,,,,
142,au Havre,Havrais,du Havre,le Havre,gare du Havre,,,,,,,,,,,,,,,,,,
143,Bœuf,A Elbœuf,Marbœuf,,,,,,,,,,,,,,,,,,,,
144,murmus,Muséum,,,,,,,,,,,,,,,,,,,,,
145,Grand Salon,E£,Salut,Salon,Salons,,,,,,,,,,,,,,,,,,
146,Fré-,Maré-,"la Maré-
chale",la Maré-,,,,,,,,,,,,,,,,,,,
147,bp,Arrêtez,carre-,Arrêté,Ohé,,,,,,,,,,,,,,,,,,
148,breuse,fosse de M. Dambreuse,Ambreuse,Dambreuses,hôtel Dambreuse,,,,,,,,,,,,,,,,,,
149,Béarnais,Javanais,Connais,Bourbonnais,Lamennais,,,,,,,,,,,,,,,,,,
150,Croix-,la Croix-Rousse,"Croix-
des-Petits-Champs et du Boulot",,,,,,,,,,,,,,,,,,,,
151,& Madeleine,Madeleine,Made-,,,,,,,,,,,,,,,,,,,,
152,champagne,l'Espagne,Espagnol,Espagnole,d'Espagne,Espagne,pagne,Champagne,,,,,,,,,,,,,,,
153,Fleurs,Leurs,Onleur,Meurs,As,,,,,,,,,,,,,,,,,,
154,ligne du Nord,du Nord,Nord,,,,,,,,,,,,,,,,,,,,
155,Avocat,Vraiment,l’'éduca-,Gitimer,SENTIMENTALE,ÉDUCATION SENTIMENTALE,"ÉDUCATION SENTIMENTALE

Quelquefois","ÉDUCATION SENTIMENTALE

Ligne",ÉDUCATION SENTIMENTALE A1,,,,,,,,,,,,,,
156,Industrielle,Art éindustriel,Es,Artindustriel,Art industriel,appendus,,,,,,,,,,,,,,,,,
157,porte Saint-Denis,rue Saint-Denis,de Saint-Denis,boulevard Saint-Denis,,,,,,,,,,,,,,,,,,,
158,st,la Renaissance,Renaissance,,,,,,,,,,,,,,,,,,,,
159,lèle,Lu,madras,Madrid,Gà,,,,,,,,,,,,,,,,,,
160,Brie,Bri=,brigand,,,,,,,,,,,,,,,,,,,,
161,Jardin des Plantes,Jardin des plantes,,,,,,,,,,,,,,,,,,,,,
162,Belle-n,rue Bellefond,Pelle,Bellevue,nelle,Mlle,Celles,Belle-,Te rappelles,Nouvelles,moselle,Fortelle,Pelle-,Elle,a-t-ellen,Bagatelle,àelle,,,,,,
163,carbonaro,Roméo,Rome,Barom,Laromiguière,Baron,Barbès,,,,,,,,,,,,,,,,
164,"Tui-
lerins",Pellerin,Pellerin.-,,,,,,,,,,,,,,,,,,,,
165,Mobilis,Chérubin,Bobino,,,,,,,,,,,,,,,,,,,,
166,Merait,Métait,Lait,Ait,Menait,,,,,,,,,,,,,,,,,,
167,Négrier,Hongrie,vo,Rieuse,Burrieu,"Hôtél-
Dieu",,,,,,,,,,,,,,,,,
168,rue Jacob,rue d'Anjou,rue du Bac,rue des Martyrs,rue Soufflot,rue de Valois,rue de Bréda,rue de Rivoli,rue de Richelieu,rue Duphot,rue d',rue Dauphine,rue de Fleurus,rue Drouot,rue de,rue de Marbœuf,rue Descartes,,,,,,
169,Odéon,Apollonie,Panthéon,pol,Napoléon,,,,,,,,,,,,,,,,,,
170,P,J1,Ile Vatnaz,La Vatnaz,Mile Vatnaz,Vatnaz,,,,,,,,,,,,,,,,,
171,Jaillissait,sais,Wwalentissait,Paraguay,Ecossais,Paraissait,Œrais,,,,,,,,,,,,,,,,
172,Nogent-sur-Seine,Léloges,Nogentais,Nogent,,,,,,,,,,,,,,,,,,,
