cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17
40,"395

pit",Italie,Vali6rs,Fatalitél,lieu—,lit—12,,,,,,,,,,,,
41,immédia—,immédiate—,,,,,,,,,,,,,,,,
42,Eh,Ehl,,,,,,,,,,,,,,,,
43,insis—,Sins,insen—,DIGKBNS,Voisins,insou—,singu—,in-8,coquins,Assiniboz‘ns,,,,,,,,
44,meil—,bril—,feuil—,veuil—,lil—12,bouil—,oreil—,,,,,,,,,,,
45,Iltliitlï'h.,Tli\5—gr0s,ditle,Slt,,,,,,,,,,,,,,
46,s‘amollir,oligar—,jardin des Oli—,Oli,solitu—,Oli—,,,,,,,,,,,,
47,"hacienda del
Milagro",la ronde,Grandeur pr15silil(: dela,hacienda del Milagro,,,,,,,,,,,,,,
48,Les États—Unis,États—Unis,États,États—,État,États-Unis,États Barbaresques,déta—,atta—,,,,,,,,,
49,ln-8' ts fr,in-l‘l,ln-lQ,ln,,,,,,,,,,,,,,
50,jeun,lune,Aucun,Ml3,Jeunes,Lune,qu‘une,mune,événe—,,,,,,,,,
51,Oh,Ohl c’,—— C’,C’,,,,,,,,,,,,,,
52,Belhumeur,Belhumenr,"59

Belhumeur",Belhumeurl,Hurry,,,,,,,,,,,,,
53,FULLERTON,ler,Az‘gle,Pz'1z'c,Reculerais,serleursnoms,Caballeros,Ver,Scotté le'gwas,Nord dela Siberle,Leperos,s‘éleva,caballero—,,,,,
54,mettez l’,Mettez,Cette,hutte,Mettons,grotte,remet—,,,,,,,,,,,
55,Frauçoisl,Voix,Chinois,Sois,provisoire—,Danois,2A,,,,,,,,,,,
56,J',gambusinos mexicains,Gambusinos,Gambusîno,gambusinos,,,,,,,,,,,,,
57,guenarde,Regardez,Regardez ;lui ,regar—,gard de suprême,gard,,,,,,,,,,,,
58,DE L'ABKANSÀS,"Gel

DE L‘ABKANSAS",L‘AIiKANSAS,DE L‘ABKANSAS,"QUÉ-

DE L‘ABKANSAS",L‘ABKANSAS,L‘AI\KANSAS,"Cœur

DE L‘ARRANSAS","remplis—-

' _ DE L‘ÀÎiKMSAS",L”ABKANSAS,-DE L‘ABKANSAS,L‘ABIÇANSAS,,,,,,
59,jé,Rio Gila,Bio Gila,,,,,,,,,,,,,,,
60,lanceros,el Cerro,Plateros,Cerro,mélanco—,Lanceros,,,,,,,,,,,,
61,Votre salut,Votre,"au-
tre",dévote—,mer Notre,trem—,vo,,,,,,,,,,,
