cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24
125,Finissait,srnit6,Finit,definitive,Finir,teignit,Fit,,,,,,,,,,,,,,,,,,
126,Californie,Nernier,Vanneroy,fier,Maternit,,,,,,,,,,,,,,,,,,,,
127,le Pays,Pays,,,,,,,,,,,,,,,,,,,,,,,
128,"pain l
-  Est",Alpes,p1es-,Restez,St,seucestochre do,noy6es,Est,Lestin,ESt-ce,thbeses,Esthtique,-  Est,investi0,,,,,,,,,,,
129,Fr6dic,Fr6lic,Flic,,,,,,,,,,,,,,,,,,,,,,
130,hein,-  Hein,,,,,,,,,,,,,,,,,,,,,,,
131,Culte-,.;;te,tete,hochantla tete,bete,tete-a-tete,Vicomte,nu-tete,qutete,tecte,,,,,,,,,,,,,,,
132,d0t des parapluies,Jardin des Plantes,Jardin des autres,"Jardin des plantes se
ploy","Jardin des Plantes.de
L' E",,,,,,,,,,,,,,,,,,,,
133,Parlotte,"mer
calotte","mer
calotte de velours",,,,,,,,,,,,,,,,,,,,,,
134,llamaria,A6,damas,damas de laine brune,"damas rouge
Quatre domestiques",Mazas,"Grands
Lamas",,,,,,,,,,,,,,,,,,
135,Marathon,Las,Lara,Pharamond,Niagara,Balaruc,Arabes,,,,,,,,,,,,,,,,,,
136,la Magdalena,Magdalena,,,,,,,,,,,,,,,,,,,,,,,
137,Bourbonnais,carbonaro,Sorbonne,sala l3onne-Nou-,sorbonne,-,,,,,,,,,,,,,,,,,,,
138,Separes,Pareils,Appar,pAr,sortaitpar,Pardon,Parquet,Parly,,,,,,,,,,,,,,,,,
139,Nogcnltais,Barnais,Sait-gErvais,cossais,sais,,,,,,,,,,,,,,,,,,,,
140,Exemples,Naples,Temple,ple,cenltuple,Peuple,,,,,,,,,,,,,,,,,,,
141,efface-toi,toil,Live-toi,Toi,"dortoir,18
L' i",toi,,,,,,,,,,,,,,,,,,,
142,a.-,".,'.-","T,'",s':'.t,,,,,,,,,,,,,,,,,,,,,
143,L'E,l1l',1L,,,,,,,,,,,,,,,,,,,,,,
144,auprs d'olle,quai d'Orsay,Orsay,,,,,,,,,,,,,,,,,,,,,,
145,".,s-i'",II',I',l,si',,,,,,,,,,,,,,,,,,,,
146,b6-,d6-,l6-,,,,,,,,,,,,,,,,,,,,,,
147,Electric,mathmaticicn,cicatris,Burricu,Matricule,,,,,,,,,,,,,,,,,,,,
148,Salons,Grand Salon,Salon,-  Salut,Ablon,,,,,,,,,,,,,,,,,,,,
149,Maul-,eulemet,gaule,paule,sault,pau,,,,,,,,,,,,,,,,,,,
150,Lacedemone,Democratie,mocratie,La Democratie,,,,,,,,,,,,,,,,,,,,,
151,l2aris,Charivari,pris?n,Parisien,lLoris,-  Bristol,Mystres de paris,paris,PAris,Paris,c0te de Paris,vee h Paris,aris,pAris,,,,,,,,,,,
152,"rue Notre-
Dame-des-Victoires",Dame-des-Victoires,Notre-Dame-des-Victoires,,,,,,,,,,,,,,,,,,,,,,
153,"Societe des Fa-
milles","Societe houille de Sant-et-
Loire",Societe,Social,Propriete,,,,,,,,,,,,,,,,,,,,
154,"Mme
Arnoux",Arnoux,Arno,Arn0ux,Pidoux,Arntu,,,,,,,,,,,,,,,,,,,
155,Madeleine,MAde-,la Made-,la Madeleine,,,,,,,,,,,,,,,,,,,,,
156,Pa-,A-t-On,Ga-,Ma-,A-,Ita-,,,,,,,,,,,,,,,,,,,
157,RUe Paradis,rue Paradis,rue Paradis-Poissonnibre,Jesuites du Paraguay,,,,,,,,,,,,,,,,,,,,,
158,Sainte-Genevieve,Geneve,Genevibve,Eugene,,,,,,,,,,,,,,,,,,,,,
159,dcembre,Chambord,Chambres,Cham,Ambrecicourt,Chambre,cambrai,Ambigu,,,,,,,,,,,,,,,,,
160,Brie,serieux,orfevrerie,Vrerie,largenterie,Tisserie,,,,,,,,,,,,,,,,,,,
161,lace cramoisie,-  Mois,-  Moi,,,,,,,,,,,,,,,,,,,,,,
162,Sncall,Sinical,Scal,Incal,,,,,,,,,,,,,,,,,,,,,
163,jurisconsulle,Monsei-,Prenons,Oublions,Causons,Voyons,considera,Ons,Rentrons,Ions,Colons,,,,,,,,,,,,,,
164,Tomes,Normandes,Ormes,"Armes,1",,,,,,,,,,,,,,,,,,,,,
165,Rpublique,Publique,la Republique,republique,mlancoliques,Republique,,,,,,,,,,,,,,,,,,,
166,Clerc,22I,Cerfs,Cercle,lons i cercle dor,Encercl,,,,,,,,,,,,,,,,,,,
167,Bouttevilain,Rosette,Quitter,tte,Laffitte,Arrtte,cEtte,Marmotte,lorette:-,laigrette,intertts,,,,,,,,,,,,,,
168,Dupont,Ponts,Pont-Neuf,le Pont-Neuf,,,,,,,,,,,,,,,,,,,,,
169,n L,pauvrejeune,d0me du Louvre,Au Louvre,,,,,,,,,,,,,,,,,,,,,
170,Iarchander,Marc-,La Marchal,March,Marchal,Murcchale,Marechal,Mareschal,Arc,Mlurchale,Marechale,,,,,,,,,,,,,,
