cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20
27.0,L'Ocean,lOcean,l'Ocean,,,,,,,,,,,,,,,,,,
28.0,murmura:-,murmura,Jeannemurmura,,,,,,,,,,,,,,,,,,
29.0,ea-tilfairef,etil,breviaire,,,,,,,,,,,,,,,,,,
30.0,Normand,Normandie,Normande,dormante de cetle,,,,,,,,,,,,,,,,,
31.0,Rosalie,Rosaliel,Asaln,,,,,,,,,,,,,,,,,,
32.0,Ladultere,ereux,onsulte,,,,,,,,,,,,,,,,,,
33.0,Iesnter,Ies,luienayantlinterdit,,,,,,,,,,,,,,,,,,
34.0,lEglise,auxeglises,Lise,Leglise,,,,,,,,,,,,,,,,,
35.0,plusqu',plus?n,Oiqu',,,,,,,,,,,,,,,,,,
36.0,Lh-bas,lh-bas,la-bas,aa-bas,,,,,,,,,,,,,,,,,
37.0,bosquet,sa`easquette,bosgquet,,,,,,,,,,,,,,,,,,
38.0,Iis,oiIS,MIis,Iisoslie,,,,,,,,,,,,,,,,,
39.0,baptisa  Massacre,Aassacre,Bravo,fSacre-Ceur,,,,,,,,,,,,,,,,,
40.0,Litues,Jaeques,vaitueet,Vues,,,,,,,,,,,,,,,,,
41.0,gtait,Itraitait,Bentait,Ltait,Cgtait,Ilbattait,,,,,,,,,,,,,,,
42.0,Damas,amazone,ajones,,,,,,,,,,,,,,,,,,
43.0,le-I,"E

Ia
lan ah
rlia",erli,liAes,,,,,,,,,,,,,,,,,
44.0,Ilfaut,toujours:-  Ilfaut,jou,commetoujours,,,,,,,,,,,,,,,,,
45.0,egarde,gardee,san regard,,,,,,,,,,,,,,,,,,
46.0,rue du Sauvage,suva,felure du mont,,,,,,,,,,,,,,,,,,
47.0,premiere,remieres ereatures,Reminil,Mie,Lepremier,,,,,,,,,,,,,,,,
48.0,Provence,Is proehe,Providence,,,,,,,,,,,,,,,,,,
49.0,blie,oubli6,liemasi-e,,,,,,,,,,,,,,,,,,
50.0,saisit126,fSais,rto  IT1,,,,,,,,,,,,,,,,,,
51.0,dinant,penelrant,Ant,L nant,nouveau-nes piaulants,fremissante,geant,,,,,,,,,,,,,,
52.0,Ibaronne,labaronne,sonnern,haron,haronne,Lbarone,,,,,,,,,,,,,,,
53.0,Dnimmense,Lomme,Omme,commeune,Comment es-tu,lanmme,Lhomme,,,,,,,,,,,,,,
54.0,couruta,coup.-,courbaturee,secouee,Coursil,,,,,,,,,,,,,,,,
55.0,au Havre,du Havre,unle Havre,le Havre,rue du Havre,,,,,,,,,,,,,,,,
56.0,esgenoux,"Ies genoux:  Voici, ma chere amie",renonc6,,,,,,,,,,,,,,,,,,
57.0,revolteo,rev6s,revolta,,,,,,,,,,,,,,,,,,
58.0,"I
L","E
E'
I
l",,,,,,,,,,,,,,,,,,,
59.0,Cest,Lereste,ceuir a des mysteres,bruyeres,colere,abestan,ler,Elerecut,,,,,,,,,,,,,
60.0,Soiceur,Deur,ceurs,Ceateur,jeur,Ildemeura,Varfleur,ooeur,,,,,,,,,,,,,
61.0,"Iy
I

M",I maiaon,eaon,,,,,,,,,,,,,,,,,,
62.0,Iature,torturee,torturee daneoisse,,,,,,,,,,,,,,,,,,
63.0,Cettepauvre,cettelarve,Permette,Commecette,,,,,,,,,,,,,,,,,
64.0,HLELY,I e deida,golfe de Sagone,deide,,,,,,,,,,,,,,,,,
65.0,Jeahne,Fhne,,,,,,,,,,,,,,,,,,,
66.0,onle,Napoleonl,Leopold-,,,,,,,,,,,,,,,,,,
67.0,Sainte-Helene,"propriet
lene",Saint-Leonard,,,,,,,,,,,,,,,,,,
68.0,Coment,frolement,gemeht,venements,,,,,,,,,,,,,,,,,
69.0,teut,honteuse,leuse,montee,meuse,,,,,,,,,,,,,,,,
70.0,noes,Donoe,Donc,,,,,,,,,,,,,,,,,,
71.0,recut,vecu,yecu,,,,,,,,,,,,,,,,,,
72.0,eperdus,Lepere,superbel,Leperthuis,,,,,,,,,,,,,,,,,
73.0,marmiton,Mars,ormir,"moi.n

marguisese",,,,,,,,,,,,,,,,,
74.0,hargee,Cargese,"dejia
hargee",,,,,,,,,,,,,,,,,,
75.0,"mon-

mniten",ceremonie,mons,Asraions,Lapons,considera,,,,,,,,,,,,,,,
76.0,d'Italie,alIS,Italie,,,,,,,,,,,,,,,,,,
77.0,Llle,lle apercut,Blle,Rlle,lle,,,,,,,,,,,,,,,,
78.0,Llouvenit,Etouvent,,,,,,,,,,,,,,,,,,,
79.0,aideo,aid6,Adelaide,iraide,pides,,,,,,,,,,,,,,,,
80.0,Le soleil,desole,soleil surle galet,le soleil,isolees,t le soleil,,,,,,,,,,,,,,,
81.0,esespeir,histeire,obeir,,,,,,,,,,,,,,,,,,
82.0,-  Jeanne,Teanne,tJeanne,Jeannel,EtJIeanne,Or Jeanne,E.isembla a Jeanne,Ieanne,,,,,,,,,,,,,
83.0,Piana,Cana,candelabres,etluidemana,Cany,,,,,,,,,,,,,,,,
84.0,ricaner:-  Parbleu,-  Pas,-  Pardi,Ble,,,,,,,,,,,,,,,,,
85.0,Tolbiac,Bolbec,Tolbias,abbe Tolbiac,,,,,,,,,,,,,,,,,
86.0,Agee,abregea,gagea,exageree,,,,,,,,,,,,,,,,,
87.0,Grece,Pieot,piece,pibece,,,,,,,,,,,,,,,,,
88.0,atterres,ns  terre,Angleterre,terre de Barville,perret,,,,,,,,,,,,,,,,
89.0,maman,Flamands,Mamanln,,,,,,,,,,,,,,,,,,
90.0,champagne,Ajaccio,accompagnees,Comptez,"complai-
nce",,,,,,,,,,,,,,,,
91.0,Chambre-aux-Demoiselles,Lelle,baptisee  6chelle,eantelle,celle-l.,Ellerentrait,nelle,oelle,ent est-elle tombo,douteelle,javelle.n,Elley,mis.elle,Ellecontinuait:-,Puiselle,pourelle,aelle,Ellebuvait,moiselle,0uelle,naelle
92.0,YIE,NE YIE,yIE,,,,,,,,,,,,,,,,,,
93.0,soulevee,lEt,Poulet,Voulez,Paulet,,,,,,,,,,,,,,,,
94.0,la Seine,Seine,seio,hein,Maleleines,-  Hein,,,,,,,,,,,,,,,
95.0,Religion,roninlanoligue,nola,igugui,,,,,,,,,,,,,,,,,
96.0,ongeur,conge,convulsee,Songe,Songez,,,,,,,,,,,,,,,,
97.0,ar-,arras,Darriere,lesoitriers,barriere,barriereblanehe auxpiliersde hrique,"or-
nierela",,,,,,,,,,,,,,
98.0,C0te,C0te  cbte,cbte,,,,,,,,,,,,,,,,,,
99.0,Londres,Comprendre,Leestendres,tendressesqu',,,,,,,,,,,,,,,,,
100.0,uelqe troit vallon oh,Allons,allongeaitjusqu,Allonsl,,,,,,,,,,,,,,,,,
101.0,val d'0ta,val d'Ota,,,,,,,,,,,,,,,,,,,
102.0,fratcheur glacee,Lac,grace,glacee,laceouchee,,,,,,,,,,,,,,,,
103.0,Adlatde,Madlame,,,,,,,,,,,,,,,,,,,
104.0,Bastia,domestiqes,Lastique,Amerique,,,,,,,,,,,,,,,,,
105.0,mre Couillard,"fosse des
oillard",Couillon,,,,,,,,,,,,,,,,,,
106.0,Eretat,Etretat,Eretry,beret,,,,,,,,,,,,,,,,,
107.0,BOir,choire,eroire,l'Empire,soiree,Desire,,,,,,,,,,,,,,,
108.0,"au-
I
L
214
UNE vIE
tour de cette chair inanimee","I
a3
2
L
Wit",au-,abimee,,,,,,,,,,,,,,,,,
109.0,gne,sogne,Cigogne,Cologne,,,,,,,,,,,,,,,,,
110.0,"II
I","ii
ii","I
N
A","II
I
N","I
I
rsII",,,,,,,,,,,,,,,,
111.0,chezla,Corniche,caleche,lche,Roche-Aubert,meche,,,,,,,,,,,,,,,
112.0,Darriere blanche,"uneaie tete de
poule  huppe blanche",jetee,jetee blanche,,,,,,,,,,,,,,,,,
113.0,grosse gaiete,Inquiete,gaiete,,,,,,,,,,,,,,,,,,
