cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29
107,Charte,Arrêtez,Parlotte,Partout,Art,HeBortez,Partez,partez,Sortez,,,,,,,,,,,,,,,,,,,,,
108,Prado,Marast,madras,Madrid,Heudras,Made-,,,,,,,,,,,,,,,,,,,,,,,,
109,Per=,Berlin,ger,perse,Auger,Cerfs,bercé,Er,fier,verier,Ver-,Liberté,Ver,"Er

u'

L'",ER,,,,,,,,,,,,,,,
110,"abbé
Cœur",jura,curaçao,Burs,Ur,NURRT,Docteur,,,,,,,,,,,,,,,,,,,,,,,
111,ÉDUCOTION,conversa-bs,"conversa-bs
tion",Monversations,,,,,,,,,,,,,,,,,,,,,,,,,,
112,passage Jouffroy,Jouffroy,Anjou,Godefroy,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Ï,hôtel des Affaires-Étrangères,Affaires-,Le Vicaire,Whiffres,Maffaire,,,,,,,,,,,,,,,,,,,,,,,,
114,BH HG,au Havre,du Havre,le Havre,Hâvre,gare du Havre,,,,,,,,,,,,,,,,,,,,,,,,
115,mœopathie,Philosophie,Canonniers,Thiers,Ltiers,,,,,,,,,,,,,,,,,,,,,,,,,
116,Foire,vempètré,Piaire,Temple,Empire,cachemire,l'Empire,,,,,,,,,,,,,,,,,,,,,,,
117,Ablon,Grand Salon,Salon,Salons,Désubalternisation,,,,,,,,,,,,,,,,,,,,,,,,,
118,breuse,moar M. Dambreuse,fosse de M. Dambreuse,Gueuse,Mieuse,Ambreuse,Dambreuses,hôtel Dambreuse,,,,,,,,,,,,,,,,,,,,,,
119,cuenta nu-n,Doucement,senti=-,Wwalentissait,sentan,entr’,Vraiment,"®-
mes enfants",Délassements,Bengale,SENTIMENTALE,ÉDUCATION SENTIMENTALE,sermentde,"ÉDUCATION SENTIMENTALE

Quelquefois",Présentez,"ÉDUCATION SENTIMENTALE

Ligne",ÉDUCATION SENTIMENTALE A1,,,,,,,,,,,,,
120,Artindustriel,Art industriel,Unindustriel,Injustice,Art éndustriel,,,,,,,,,,,,,,,,,,,,,,,,,
121,Woix,Melacroix,Croix-,la Croix-Rousse,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Pas
lais",glais,orang-outang,Anglaise,Languedoc,Anglais,élailt,,,,,,,,,,,,,,,,,,,,,,,
123,Dagneaux,Espagnolet,pagnon,pagnie,l'Espagne,Espagnol,d'Espagne,Espagne,campagn,,,,,,,,,,,,,,,,,,,,,
124,ligne du Nord,Dunod,du Nord,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,
125,paria,Appar,arboriculm,Variétés,Parly,Paris,Charivari,reparul,Parisien,Pa-,,,,,,,,,,,,,,,,,,,,
126,Mois,Sois,Trois,Meois,Mroite,Trois-,Trois-Maries,croisales,Trois-Rois,Froissard,ttrotioir,,,,,,,,,,,,,,,,,,,
127,la Bastille,Vazeille,Séville,Mille,Canaiïlle,Mlle,Æcharmilles,Billy,Vaudeville,sailles,Chantilly,Filly,Milles,volaille,- Bastille,Bastille jusqu’,Grémonville,Hauteville,Sainville,Lille,Surville,Andilly,ille,Etille,Versailles,Canailles,Villenauxe,Travaillez,,
128,rue Transnonain,Girondins,Norvins,Constantinople,Minons,weconnut Martinon,Fumichon,,,,,,,,,,,,,,,,,,,,,,,
129,Mouffetard,Pardon,"ha-
ward",Garde-Meuble,regardan,Dar,Ga-,Savoyard,Gare,Garde-Meubles,Mhasard,Gaspardo,"garcon
Æse",Gardes,gard,regardan®,Regardez,,,,,,,,,,,,,
130,Belle-n,jurisconsulle,rue Bellefond,Pelle,el,Hôtel-de-Ville,Bellevue,nelle,lâquelle,Celles,Belle-,".——.

LL",Morelly,a-t-ellenr,Te rappelles,Nouvelles,Fortelle,Belleville,Pelle-,Elle,Pellerin,Pellerin.-,Bagatelle,àelle,Leloir,,,,,
131,défectuo=-,fe L,Fe,Mfeu,Fe n—.-,,,,,,,,,,,,,,,,,,,,,,,,,
132,rue Jacob,mero pueblo del mundo,rue de Laval,rue d'Anjou,collège de Sens,bour de basque,M,rue du Bac,rue de l’Arcade,Sue,rue des Martyrs,rue Soufflot,rue de Valois,rue de Chabrol,musée de Versailles,rue de Bréda,rue de Rivoli,"rue
de Provence",rue de Richelieu,rue Duphot,rue d',rue de l'Empereur,rue Dauphine,rue de Fleurus,rue de,Vénus de Milo,rue de Marbœuf,"Don Juan

de Molière",M. de,rue Descartes
133,Ee,EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Pargent,Nogent-sur-Seine,Nogentais,Nogent,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Elysées,"Champs-
Elysées",Lys,Champs-Élysées,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Savez,Venez,Vezou,Avez,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Flacourt,Mécoupaient,coucou,Nonancourt,Pour-,Cousin,Ambrecicourt,Nonancour,Cour,Sourdun,Véfour,,,,,,,,,,,,,,,,,,,
138,Esthétique,Lique,"damas rouge
Quatre domestiques",W,Btique,Msique,narcotiquemm,,,,,,,,,,,,,,,,,,,,,,,
139,Irez,rez-VOus,retirez,Rendez,Enivrez,rez,Restez,Entrez,Gare aù lustre!,,,,,,,,,,,,,,,,,,,,,
140,Odry,Oudry,Ivry,RY,Cléry,,,,,,,,,,,,,,,,,,,,,,,,,
141,"des-
sin",Dess,Normandes,dew,Mabitudes,cuyde,Suède,Desde,esprit-de-vin,Dest,,,,,,,,,,,,,,,,,,,,
142,place Gaillon,pont de la Concorde,"place de Van-
meroy",place de la Bourse,Cygne de la Croix,place du Marché,place de la Bastille,place de la Conæ,"tic-tac de la
pendule",place de la Concorde,,,,,,,,,,,,,,,,,,,,
143,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,rue Vivienne,Vienne,vie?Il,Vincennes,Vive,VI,Vivienne,,,,,,,,,,,,,,,,,,,,,,,
145,Jls,Ljils,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"di

Un",brune,Trône,uneh,Ilne,murmus,Lune,MU,wun,Mucune,Mjaune,mune,un@,,,,,,,,,,,,,,,,,
147,SiOn,Mion,P,Sion,io,Albion,Inquisition,Direction,Religion,,,,,,,,,,,,,,,,,,,,,
148,Irlandais,languir,Blanqui,Hollande,Guirlande,,,,,,,,,,,,,,,,,,,,,,,,,
149,Fromanteau,Jante,hôtel de Nantes,rue Fromanteau,Mante,s’endormant,Mdivertissante,Bacchante,Jant,,,,,,,,,,,,,,,,,,,,,
150,carre-,Arroux,Arrêté,Carrousel,"place du
Carrousel",Carousel,place du Carrousel,,,,,,,,,,,,,,,,,,,,,,,
151,XI° arrondissement,Mrodigieusement,III arrondissement,XII° arrondissement,,,,,,,,,,,,,,,,,,,,,,,,,,
152,L'Andalouse,b----,Anda-,Balandard,Andalouse,,,,,,,,,,,,,,,,,,,,,,,,,
153,uatre-vingts mille francs !,de France,affranchiront,Collège de France,Grands,Franks,Frane,La France,rangè-#e,la France,créances,Fr,Crancé,France,Sois france,,,,,,,,,,,,,,,
154,Chinois,Bains-Chinois,chine,Sphinx,Hiérarchie,le Rhin,Rhin,cines,Chine,,,,,,,,,,,,,,,,,,,,,
155,carbonaro,Barom,Barcelone,Baron,Barbès,,,,,,,,,,,,,,,,,,,,,,,,,
156,Muteuil,seuil du boudoir,Ù,teuil,Auteuil,Neuilly,,,,,,,,,,,,,,,,,,,,,,,,
157,Ons’,Châlons,Bonsoir,Hurons,haïllons.r,Dijon,Cupidons,Jons,Jonc,,,,,,,,,,,,,,,,,,,,,
158,Séné-,continua Sénécal,HN,gènée,notre Sénécal !,Ca=+,"4

Sénécal",Sénécal,porte Sénécal,,,,,,,,,,,,,,,,,,,,,
159,tenaim,Conférence,Régence,"sanc-
tuaire",la Renaissance,Renais-,Lamennais,Renaissance,Havanais,,,,,,,,,,,,,,,,,,,,,
160,mêmt,Bohème,Ohé,Bohême,,,,,,,,,,,,,,,,,,,,,,,,,,
161,st,Postillom,Postillon russe,postillon,tillon,Châtillon,,,,,,,,,,,,,,,,,,,,,,,,
162,Aulnay,Pays,mer M. des Aulnays,Aulnays,,,,,,,,,,,,,,,,,,,,,,,,,,
