cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30
26,attraper Frderic,Frederic,Frlric,Or4ederic,Frderic,Frederie,derriire,Fred6ric,Freleric,Derrire,Freleric.d,Fderic,lFrederic,I35,,,,,,,,,,,,,,,,,
27,MI,mimi?n,ami.n,Fumichon,lumikre,Imince,MIise-,tamise,amiel,Milo,misre,,,,,,,,,,,,,,,,,,,,
28,Or4aider,J-,Fr4aider,deplorer,Zoraide Turc,Or6aider,,,,,,,,,,,,,,,,,,,,,,,,,
29,le Bugcaud,Bugcaud,le bulfet,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Capitale,Capitaine,I85,-  Tapecz,la Capitale,,,,,,,,,,,,,,,,,,,,,,,,,,
31,auteuil,emeute,teuil,Aulcuil,Auteuil,,,,,,,,,,,,,,,,,,,,,,,,,,
32,barribre d'Italie,barribre,carreaix,"barribre du236
L'",bannibres,barribre du236,Barrot,barrirc,,,,,,,,,,,,,,,,,,,,,,,
33,Bas,"Panora-
bas",Baslin,Lembarras,la-basl,l-bas,Bac,lh-bas,n,,,,,,,,,,,,,,,,,,,,,,
34,iL N,IL n.,"maltresse1 Il
 La Nuit",l va,IL L,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Amour,Amourl,Sourdun,Iamour,Ambrecicourt,,,,,,,,,,,,,,,,,,,,,,,,,,
36,SEN1ENTRER,sEN,Senc-,se260,Sens,notre Senecal,tuen,pyse,faenza,Senecal,Sene--,"Senc-
cal",senleur,,,,,,,,,,,,,,,,,,
37,camlias,camelias,Plilias,o,familiarite,,,,,,,,,,,,,,,,,,,,,,,,,,
38,MI arrondissement,NIl arrondissement,disunt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Deslauriers,h Deslau-,Deslauricrs,Desluuriers,Deslau-,bDeslauriers,,,,,,,,,,,,,,,,,,,,,,,,,
40,hauss6e,haussantles,rez-de-chaussee,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Fr6merci,Or6merci,A6,Temercie,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Odry,voudrezl,Oudry,pre Oudry,poudrc,voudrezn,,,,,,,,,,,,,,,,,,,,,,,,,
43,galerie d'O0dedans,O0dedans,medecins,ceda,Ellemontadedans,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Havre,du Havre,gare du Havre,navre,au Havre,Avrt,llavre,sevre,,,,,,,,,,,,,,,,,,,,,,,
45,mademoiselle,Malemoiselle,Allemand,moiselle,croisales,Allemagne,Aise0ellE,mademoisoelle,,,,,,,,,,,,,,,,,,,,,,,
46,ayec,aec,ayeec,layes,Irayeur,balayes,,,,,,,,,,,,,,,,,,,,,,,,,
47,rotloir,louvoir,Loire,Pouvoir,emouvoir,moucloirs,,,,,,,,,,,,,,,,,,,,,,,,,
48,ucune,jecune,ucun,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Postillon,chillonnires,Postillon russe,postillon,Chitillon,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Turc,cxcs,Turcs,Dcs,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,bois de Bologne,bour de basque,bois de Boulogne,Boulogne,dCcbarque  Boulogne,kaolin de Bretagne,,,,,,,,,,,,,,,,,,,,,,,,,
52,cinabe,Jrdin,Berlin,Inlin,nins,enlfin,Bobino,Masselin,ainirenl ie dnlagc,Praslin,In,LinUCCATIN,Enlin,Mlinistk,puncl inleliniment,I,linie,,,,,,,,,,,,,,
53,hommcs,ommne,Romeo,Somme,Sombaz,Iemmecs,sommc,mme,,,,,,,,,,,,,,,,,,,,,,,
54,aureole,autrE,C0autre,recut,autre-vingts,"v0autrE 
- MOi",Lautre,autrcs,Autre-,,,,,,,,,,,,,,,,,,,,,,
55,lune,forlune,mune,supportailune,brune,etaitune,etune,Melun,,,,,,,,,,,,,,,,,,,,,,,
56,Aube,Rubens,l'Aube,Bertinaux,J',,,,,,,,,,,,,,,,,,,,,,,,,,
57,Chantilly,Filly,fiamille,Andilly,Chailly,Neuilly,Ily,Billy,,,,,,,,,,,,,,,,,,,,,,,
58,legimburt,Regimbart,egimbart,Regim-,lRegimbart,J'ai dit Regimbartl,llegibart,Regimbartl,,,,,,,,,,,,,,,,,,,,,,,
59,mele,A05,OÙ Est-elle,perpctuelle,el,Celles,Ellel,Morelly,El,delend,Fortelle,celle-lh,ElLe,ellE,monleln,poele,clle avuit reluse,el l,Diablel,Siele,qulelle,Rappelez,Impossiblel,A Elbeuf,lElle,pele-mele,Miclel,Elloe,eligibles,Bagatelle,ellet
60,Bouloi,cblouie,lousie,Loulou,Mloulin-Rouge,roulte,Vlour,lout,Andalouse,lourdes,,,,,,,,,,,,,,,,,,,,,
61,Balaruc,Barbbs,carbonaro,Barbs,-  Trbs,-,,,,,,,,,,,,,,,,,,,,,,,,,
62,clerche,Clerc,cervclle,Frcleric,Clerc abusaitle,Cercle,clerg,maltre-clerc,lons i cercle dor,ler,,,,,,,,,,,,,,,,,,,,,
63,Saumon,bDaumont,Longjumeau,aumone,A,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Eugne,designe,Cygne,gne du menage,gne,Auvergne,rsignee,cygne,chtaigners,bcsogne,Bugneaux,Savigny,ourgogne,Dagneaux,Empoigne,Bretagne,cltne,Ligne,,,,,,,,,,,,,
65,tapissires,soiree,lisire,sirE,hire,Sire,lumire,Iaire,dlire,Iu reussiras,Molire,bannire,SI60,bire,retirez,Le comimnissire,SIre,laltirerent,thiire,,,,,,,,,,,,
66,chre,Chbre,Iichtre,seucestochre do,chbevre,cochre,,,,,,,,,,,,,,,,,,,,,,,,,
67,dme du Pantheon,Pantheon,Theodore,aeo,Panthon,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Brie,Algerien,Algerie,geometriel,Chevalier noyen age,siege,aulgrienne,largenterie,,,,,,,,,,,,,,,,,,,,,,,
69,opéra,.:;;;.e,l1Opéra,Opéra,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,l108,l1l',1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,-  Ouil,Drouillard,broussuilles,Ouil,- OUi,luil,bouillard,ILaromiguire,Oui6vous,seuil du boudoir,Oui,,,,,,,,,,,,,,,,,,,,
72,Burricu,vicux,Vicomte,N,Desgricux,Dcux,,,,,,,,,,,,,,,,,,,,,,,,,
73,rue Transnonain,Saint-Mlartin,faubourg Saint-Martin,rue Saint-Denis,E,rue Saint-Martin,Suint-Murtin,rue Sint-Anne,rue Saint-Victor,porte Saint-Martin,rue Caumartin,rue Sainte-Anne,Porte-Saint-Martin,rue Saint-Hyacinthe,,,,,,,,,,,,,,,,,
74,A-aH,Panora-,Ga-,A-,Rosa-,pEnsa-,Ita-,Ma-,Pa-,,,,,,,,,,,,,,,,,,,,,,
75,ecarta,ar-,IArt,Art,ARTIELe,quartier Breda,Barthlemy,Chartres,Arrtte,mur arrtta,Flabart,Lartiste,beux-rts,,,,,,,,,,,,,,,,,,
76,TU M',Es-tu,Es-tu?,Attendrais-tu ton lidalgo,OÙ es-tu,p1es-,,,,,,,,,,,,,,,,,,,,,,,,,
77,Deviens,Norvins,vIens,Tiens,Amiens,Essniens,mens,lavie,Iense,,,,,,,,,,,,,,,,,,,,,,
78,Picardie,Dussardier,Dussar-,Dussardioer,Dussarlier,Grce  Dussardier,Caussidiere,Poissarde,,,,,,,,,,,,,,,,,,,,,,,
79,Cancane,cancan,Toscane,Sncal,anca,Canonniers,canape,Vatican,renoncant,,,,,,,,,,,,,,,,,,,,,,
80,Ro-,duro,So-,ho-,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,pre Hoque,pre Roque,Mlle Ioque,prcsque ous,"damas rouge
Quatre domestiques",pItesque feroce,,,,,,,,,,,,,,,,,,,,,,,,,
82,Toyes,ployes,Troyes,noyees,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Provi-,"rue
le Provence",Providence,Avide,Provencaux,,,,,,,,,,,,,,,,,,,,,,,,,,
84,nankin,lentendant chanterl,maintenanT,rue Fromanteau,snte,Dantc,Nantes,Intelligence,enfantlon,tenailt,Enfantin,Fromanteau,dinant,Mlontreuil-Nantua,,,,,,,,,,,,,,,,,
85,troisime,Trois-,rue des Irois-llois,Iois,Troisibme,Trois-Ordre-Provencaux.-,ultrefois,"hse
- TAis-toi",troisiime,Froissard,Trois-Marics,Cvroiz,,,,,,,,,,,,,,,,,,,
86,boulevard sen,Moulevard,boulevard Saint-Denis,boulevrd,boulevards des Gobelins,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"rue
Iauteville",Gremonville,"ruo
Iauteville",Grmonville,rue Bellefond,"E
- BElle-même",Seville,Belleville,Bellevue,Villeneuve-l'Archevêque,Belle-,Vaudeville,Appelle-moi Vicomte,Surville,filoselle,Villenauxe,,,,,,,,,,,,,,,
88,Hui-,.Puis,Puisqu,uis,buis,Guizol,Inquisition,suis-,Louisel,suischagrin,Louisefut,,,,,,,,,,,,,,,,,,,,
89,iaon mediocre,Samedi,mediocre,mdiocre,meticr,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Frisonne,Hussonne,pcrsonne,Letonnemnent,Husson-,-  Personnel,Sorbonne,Iussonnct,Hussonnet,Iussonnet,sonnelte,son32,Causons,,,,,,,,,,,,,,,,,,
91,ICI.'i,I.f,I.'i,i.,,,,,,,,,,,,,,,,,,,,,,,,,,,
