cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
220.0,Vanneroy,neroy,,,,,,,,,,,,,,,,,,
221.0,beux-rts,Eux-tu m'ecouter,Ecoutez,TU M',Ecoutez-,,,,,,,,,,,,,,,
222.0,h0êtes,bcte,Ctes,htes,,,,,,,,,,,,,,,,
223.0,La Democratie,Democratie,,,,,,,,,,,,,,,,,,
224.0,pEnsa-,Sens,Rubens,mens,,,,,,,,,,,,,,,,
225.0,Tache,lachete,as achete,,,,,,,,,,,,,,,,,
226.0,L1ENTRER,fentres,SEN1ENTRER,en10,,,,,,,,,,,,,,,,
227.0,Quelques-,QUelquefois,"Quelques-
Bois",Quelqu,Quelquefois,Quelquelois,Quelquun,,,,,,,,,,,,,
228.0,outle,pâle-mtle,Etle,ttle,tle,,,,,,,,,,,,,,,
229.0,Marechal,Murechale,Mareclale,la Mlarechale,Marechle,Marechale,Mlarechale,,,,,,,,,,,,,
230.0,lonc,lonc?n,donc?n,,,,,,,,,,,,,,,,,
231.0,insuccis,Linsuccs,,,,,,,,,,,,,,,,,,
232.0,"Palais-
Royal",Palais,Palais-Royal,"Pa-
air-Royal",,,,,,,,,,,,,,,,
233.0,Marthene,Mlle Marthc,Cuthe-,MP Berthelmot,Barthlemy,Athee,Marthe,Ile Marthe,Parthenon,Mrthe,,,,,,,,,,
234.0,terrsse,glcterre,La terre,Angleterre,,,,,,,,,,,,,,,,
235.0,Irappces,-  Cest,etune,Cestune,,,,,,,,,,,,,,,,
236.0,Riche,Autriche,autriche,Autrichiens,Richelicu,quatribme c0tu,,,,,,,,,,,,,,
237.0,voudrezn,voudrezl,,,,,,,,,,,,,,,,,,
238.0,Carousel,Carrousel,"place du
Carrousel",laBroue,carreaix,,,,,,,,,,,,,,,
239.0,mimi?n,QUi?n,tqui,,,,,,,,,,,,,,,,,
240.0,equel,Bouquet-,quell,Quels,uuquel,juqu',,,,,,,,,,,,,,
241.0,T10N,nUCAT10N,cRIA1T10N SETI ME NTA,CAR10N,,,,,,,,,,,,,,,,
242.0,Empire cree pair de,Empire cree pair de lFrance,,,,,,,,,,,,,,,,,,
243.0,"barribre du236
L'",barribre d'Italie,barribre du236,barribre,,,,,,,,,,,,,,,,
244.0,v0être,êtrE,n0être,,,,,,,,,,,,,,,,,
245.0,"Sainte-
Chapelle",Chapeau,chapeletsln,Chitelet,,,,,,,,,,,,,,,,
246.0,".,s-i",,,,,,,,,,,,,,,,,,,
247.0,Allard,bouillard,Drouillard,,,,,,,,,,,,,,,,,
248.0,Saint-Valery,Saint-Franois,Saint-Cloud,lebarquait  Saint-Cloud,Saint-Antoine,quai Saint-Bernard,Saint-Honor6,Saint-Louis,Saintonge,Suaint-Barthelemy,Saint-,Saint-Paul,Saint-Mlarceau,Saint-Thomas,notre Saint-Père,Saint-Cloul,Saint-Autre-,Saint-Germain,Francs-Bourgeois-Saint-,Mont-Saint-Michel
249.0,Psyche,crbche,tche,lacloche,lche,,,,,,,,,,,,,,,
250.0,lForcc,Forchambeaux,Ft Forchambeaux,,,,,,,,,,,,,,,,,
251.0,MOi,- Rendez-moi,moil,Imoi,Freres-Siamois,,,,,,,,,,,,,,,
252.0,Notre-Dame,Notre-Dume,Notre-,notre Senecal,notre7,,,,,,,,,,,,,,,
253.0,Frcleric,Freleric.d,Freleric,,,,,,,,,,,,,,,,,
