cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
68,eousas vagot,Usasa,Safa,lss c tamusa,Russa,Cousas,"u
Ict sag",Salzedas,Crassa,CSs0s C0usas,Balsas,Cusa,Sao,Rsa,Itsa,,,,,,,,,,,,,,,,,,,,,,,,,,
69,sileneia,silenceio,silenei,entlilnenlt0,"ji silen-
ciaosas",nei,Siloneioso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,hisav0,Sahi,sahi,Ahi,"RE
ahi",AhI,sahiu,xira sahir,Cahio,"sahida da
missal Ao",sahia,ahi,Sahira,sobesahir,U csahto,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Garcia,lorcia,l. Garcia,"CUIII
Garcia Niegas","a4
rcgar",agarrcu,cigaro,garygalheia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Coral,aloro,Mloral,Sorra Mlorcna,Mlorle,chumlo,"alvoraeo co
ue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,rioda,triio,U,Cu urtrio,ms siio,iriio,Patriotisuo,u marmore do lavatrio,trrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Sll,LLLLLLLLLLLLL,LLLLLLLLLLILLLLILLILLLLLLLLLLLLLLLLLILLLLLLLL,Nll,Gll,AtC alli,Yilln,LLLSTnE CSA,ILl,Fllc,ilLs,ulld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,TIt6,Tit,ITit6,Tit6,"I,1.ITII",Paulitieal,Iiti,Titosinlo,mn sitio,E8,Titi,Tit6-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Sud-xpress,Sud-lxpress,retesudas,pelu Sud-lxpress,lx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Barrlo,Brrlo,Arribada,barrigrudo,llarrlo,quarlo,Iarlo,bstarlo,Barrlos,Iarrlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Mias,Ias-,"riacho das
lonas",MIas,cspalhaia ramaria das faias,Ias,dynastia d'Aviz,.-MIas,Ias l,Asia Alenor,riacho das bonas,Iagoas,Cundceias,Fnthusiasmo,Asia,amcias,Iachas,MlIas,Dynastias,,,,,,,,,,,,,,,,,,,,,,
79,larica cscura,"Naotarios
da Curia-as resolucnes",Curia,curiosidadc,porcuria,Clerigo da Curia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Luecna,mueu,Geuealoic,ue,Yue,Iuecna,uei,Mlohiqtue,Mtiuel,ay Trueto-,uem,Suevo,ent ue,tque,Quemn,Alhuquerue,pequerrueha tao,S. Miguel,t[Ue,Affns de Alhuquerue...,Afoguead,Iue,Purque,,,,,,,,,,,,,,,,,,
81,venhora da koa Mlortel,casa da senhora sua mana...,irna d obe senhaor,"aquella romantica solidao de
lenda",perna manca,i sua sbra,ma immensa ve`gouha,miosinha da Snr,Catharina da Russia,"fundad 1o
anaes da sua Casa",r0Sa Sopa,chamma alta da vela,rua d rinceza l. nelia ati,ajudania da losa,Torre ma fallada marailha,,,,,,,,,,,,,,,,,,,,,,,,,,
82,plorando ny,mn grande,ii vurand,Grande,portao grande,Grande Ilonda,Tanque-Grande,grandc,Iendera,"sen grande
liomance",MIande,brancuras de lapides,Poco grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Coucelho,juelhs,lelho,velhota,mn velho brazileico,lelhol,"mnoldura
do espelho",Yelho,jelho,Concelho,elhorira l,"Cale-
celhos",Relhos,Tanque-Velho,"letle l
velho chapeo de palha",Telegrapho-ji,Conecelho,Ioeo Yelho,,,,,,,,,,,,,,,,,,,,,,,
84,sedinhn,Yendinha,endinha,Yendiha,Venha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Mlont-mr-- ji,ji,Mlont-mr--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Imnanos
Gonealo",Uaonalo,El-rei Iom Alon-,Gonal0,Gonalo,Gonalol,F Gonalo,d'Aflonso Gomes,tGonalo,Gonulo,eglonalista,Gongalo,Gonalo aeudiu,Gonal,Gongealo,Ohi Gonalo,Alon-,"tGon-
alo",tonalo,Uonalo,Gonalo endes,,,,,,,,,,,,,,,,,,,,
87,Graeinha,traeinha,Graeiuha,Gravinha,Iranguinha,raeinha,CGraeinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"Ua
pcrna divinal",Inagarefes,Inadava,Ina,Imagina,Amninae,elupinand,Nao,Iina,Inais,lina,laoaquina,Inalo  in perceo,"ra-
pina",hna,Aansina,In'ensinava,Inanchava,China,coinbinarmos,rvelandu imaginagio,"taio tina in-
telligeucla",tinal,Iy de Pina,Inagnilicos,umna,Inag,Naa,comezaina,collina,nIna,,,,,,,,,,
89,Mlestrc,es Inostrar,estrada de Collaros,"a-
lestra",estrad,estruda,ygrades,restauradu,Mestrc:-al,passadigeo de traves,"estrada
Agora prim","lEste ul-
trajc revoltira o solar",testeira rostrada- semnpre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Tambetm,Tambe,Tambom,"tam-
ben ua",ambs,ambem,tambom,tambcm,tambel,Ambhos,Tambe nio,Tam-,i,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,perc,pe,petdra,Apezar,pelgei,pe-,campes,etpe,sompe,d'apear,apetrcehad,pessonl,pecs,rmpendu,pedru,T0thpe,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Iolitica
ute o0 oncalo",Politica,lolitica,Politicos,Polltica,"Politica
kElla",dolicassc,luliticu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,aquella aigagao,aqualle,monte aquello,Aquelle,"aquella
vaio ue",nntquelle sileueio,aquell,aquelia,"E.
n'aquellve",N'aquelle,lGonealo qte aquelle,jaquetn,aquella linda,aqulle,"S.
ulgenciol ue aquelle careea obeso",Aquellas,quelle,Iaquelle,Aquella,relluem,affronta daquelle cnjado,n'aquelle,naquelle,Tuele-,aquelle,jaquetia,,,,,,,,,,,,,,,
94,ge do Lnrg,riseaudo co0t,cabo do camiuho do Nasecnte,Ireseo rebrilho dos dontes,cabo do renque d'alamos,cabo d'osso do guarda-sol,mcdo c,"Conselhos do
Baneo Ilypotluecario:-e","cabo dec
anta",face do homcm,Ioos do Camolino,abrao do 3urrlo,do Sul,Caseo nio so arredava,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Nunes,es,desfazcr,mesm0,"resuscitar ostcs va-
ries",la Hes-,lanqes om,N6s,desdohaya,Yoes,"vivondo
n'estes silios",deses-1,Alges,Nes-,deseubrulhes,deseoherta,l)es,Iinos cyprestes,pcoes,despcdiu,essc,Vezes,Leoneses,Esli,,,,,,,,,,,,,,,,,
96,vozeirio do Tit6,Iimrio do Gaerno,vozeirio d Tit6,Rio te Janeiro,"uo cra
uI torrio ico",veridico do leino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,HBarrolos,santa mae do Barrolo,Barrolo,"Barro-
lo",Barrole,IBarrol,baro,Barriolo,Iarrolo,WBarrolinho,lomba d cerro,raca larrolia-quando om baixo,Baro,Barrolos,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,pallido,Partidol,partidus de lidye,IPartido-,iddca de artigos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Yocte,Yocts,lEscutel Yoceecte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,lLei,Hlle,klle,clle,lle,Flle,Yillegas,olle,d'clle,llle,lleicao,pclle,Iolle,vlle,Zlle,a6,molle,,,,,,,,,,,,,,,,,,,,,,,,
101,belegado,Delegado,adelgaca,Mauael da Adega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,la Pharmacia,lPharmacia,Iharmacia,harmonlia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Secretario Geral,Seeretario Geral,Secretnria,"sesseta grausl
N",secret0,Secretaria,Vigario Geral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,tugga,Partugal,Portughl,Portugul,velhu Portugal,Portugal,ortugal,"Portugal
Terrs",lPortugal,Portugueza...,"Portuguc-
zest",Porgal,"Portugal
Espantado",lPortngal,I'ortugal,Portugal-,"lPortu-
gal",lortugal,"vclho
lortugal",Condudo Portu-,Iei de Portugal,alPortugal,Sorte inimigal,Intantas de Portugal,Pwrtugal,vulgurisar Portugal,lortugalsiuho,,,,,,,,,,,,,,
