cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40
405,bahu,Ahl,Ahos,rahna,Ah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,Voees,lleeehedria,faee,apodreeer,conheeel,neeessitandu,seeea,ee,appeteeer,Fnvelheeeram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
407,Fmlim,Mlirunte,libliothecea,Mlinho,Mlirnle,Mls,Hmlim,aqli,mlml,S. Mligucl,Mlira-,Mli-,Li,emlim,Mli,mlim,Mlirnto,,,,,,,,,,,,,,,,,,,,,,,,
408,Ieilosa,Feilosa,IRkosa,tdos pclos,Ilosa,"k to-
los",uossa,losa,guloss,llosa,loso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
409,Clgarr,escrvr ct garho,u Clgarr,C1 UI1 hu Claro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
410,Rami-,Gramilde,Iamilde,Mathildes,Ramilde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
411,Dize I.,Torre de mandudo do,Torre de I. Raires,treire de an-,"AMIRE

Bolos de bacalhaul",Torre de l. Hamiresns,pees de Irecha,Torre de I. Hamires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,"to se-
gu0","oa se-
nhora","se-
bes","te-
nho","Nosso Se-
nhor","ba
nhos","se-
nhor","tm
nhos","Se-
teuhro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,Gacinha,za dc racinha,"ILys
tGracinha",Gracinhal,"nio podia p
anor le tracinh",Torre racinha,Cinhra,Gracimha,Gracinhae,raciha,coplaceute de Gracinha,Grainha,"Gra-
cinha",Cracinha,"ra-
cinha",lgrejinha,Gracinha,Gracinhn,Oracinha,,,,,,,,,,,,,,,,,,,,,,
414,Post-Seripum,Iepulud,pupula,puc,"k pu-
lu",lipu,pu,Puco,puehot o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,Tu,etu,destudo,sobrctudo de verio,Solretudo,sobetudo,sohretudo,s6 pelu soberana alturu,sobretud ra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,loste,homeml kEste,steu,rutestar,revste,"ji vocemec
temn aqtui esta...",ste benziam,"ste
longu",Cister,Fste,ste par-,ste,St I,d'este Pego,ampeuas ste,,,,,,,,,,,,,,,,,,,,,,,,,,
417,iugira,Airanle,Iragane,mudira u,iradignio,ranjou,"se-
girand",topira,girand,Mran-,b)edicira,muira,diran,"sc arredira
'ssa manha",,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Iaces,aceri,face,aceadu,Iace,iace do Fi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,csmiucot,Cotd,cot,cotmn,cotm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,apa-,papi,Palo,pau.n,"pau-
1",pasts0,pa,a4pa-,Sopa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,Torr,Torras,lh ua Torrc,trror,Torro illuminira,"Torre
rostituida",Torreiro,Torrc,Torrciro do Paco,Torroe,Torro,"ul horrorl
Atirou",tarror,i Torro,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,aldizer,Cerda,Alcacer,Cerdal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Inostrou,Ainistralor,1E,Mlinistro das Oras,Amninistracio,aMinistro aeceiltz,"Iistorin da
ttminisreo 1'nbliz",imagel te patrocinia,Roevista,Claustro,Ministerio dn Fazenda,Mlinistro,Ministro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,Sntr,c-,C-ntr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,sophar,bD. Josopha Pires,Ophir,Josopha Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Lnrga,Iogar,"lve u
rga",d'Orgaz,Vagarsalnclie,sarga,earga,Jargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,d'onde pendia,suspendia,cstendia,rescendia,comprehendia,ienda surdissen,Vendcia,cendia,ctmrehendia,Cendfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,Una,Guncalo,n'una,Mloguncia,Gnalo,Ganalo,Gunal,Gungalo,Gunalo,Gunealo,unealo nascira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Portgl,lPor,llestava porei,porque2,Por-,po,porim,Poreira,Pohre,portcira,porei,porl,pore,IPor,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,Nom,homen,eom,bom it,Dom,rome,bom fm,Lom,somhra,"IWIS
eom",devom,quom,om,momices,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,"Appareca tam-
bem",desappareceru,lieapparecend0,nio apparecu,apelrechar,Paroecc qute nel,Apparecel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,Cidadelhe...,Superioridade,Ilaccida,"Vontade hem
exorcida",Auctoridade,solemhidade,Cidadelhe,earidade,intiidade d,felicidade,Cidude,ceuriosidade,Authoridade m'empurrae,lapide,Cidade,Universidade,,,,,,,,,,,,,,,,,,,,,,,,,
433,kstoves,tosca1,n'este Agosto,estoira.-,Agosto,Toe,Netos,Vatos,gostol,Gotoso,vrniz dos sapatos-aprescntou a,oesti,toscard0s,tostoes,hoston,rcmolto cestiuho,,,,,,,,,,,,,,,,,,,,,,,,,
434,Il,Ilrcileiro,IL0g0,seguilra,Til6,IL.LSIE,ilcn,IL.1,Ilncntld,IlCt0,Ilrcileiro potr,Ils,IL.1.STH,Ail,Ilhe,IL,Ilu,ILg0,,,,,,,,,,,,,,,,,,,,,,,
435,A0,encalrregaa,Pegas,Arega,Sigaa Real,Chega,rega0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,Santa Miaria de Craquede,Mlaria da tGraea,Santa Mlaria de Craquede,Santa Mlarla de Craquede,anha de Mlissa,tardeta de botes,Santa Mlaria de raquede,Santa Mlaria de Craqude,Santa Maria de Craquedel,Santa Mnria de Craquede,Santa Maria de Craquede,Mlanria de Crauede,santa Mlaria de Craquede,Santa Maria de Crauede,iladssia mneza de tcarvalhto,Santa Maria de Craqutde,,,,,,,,,,,,,,,,,,,,,,,,,
437,Fl-Iei,-.A cleieio cst:i segtura,voei,cceie,Ieis,Iepeis,Ieia,Ieio,Iei,Ieits,"ca
Ieita",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,alvejaral,esbogalhava,Alvari,phal,d'alvigcaras,muralhua,trabalhadu,Alvaralhao,ji ovwral,Alvaralhio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,Archio,chut,"enechia
agola",grduch,chisti,Chiche,Mlonarchia,Mlalchior,chi,pequchiha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,Inios,Oposicio,Ncgocios,p0,"u dos
silios decantados",rioso,Deliciosos,Ios-,Philosoplios,improssiono,Iodos,receioso,Aostcio,Novecenios,ancioso,Riosl,Ios,,,,,,,,,,,,,,,,,,,,,,,,
441,saherania,saherania tdt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,Ientre,Lentro lgeneradotr,Naluralmente,Centro da Couraea,Iotel Central,llotel Central,Cent0-,entrrdo,Central,3I,ce du raeals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,Pelestina,Estive,"Pales-
tina",Destino,Pestana,Palestina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,N'm,D)'um,U ne,n'ult,"1F
d'ahi n'uma ba earavaua",u n'um,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,Ilcnto,Icnto,Hcnto,"Bcn-
to",elizmcnt,Bcnto,Oh Bcnto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,cr d'ouro,cabo d'ouro la ltteta d'ouo,luneta d'ouro,cabeeo d'Avollan,cabo d'ouro,cabo d arapau,cabo d'aljafar da sombrinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,gemend,hmen,meninu,Inil,enI-,meniaon,menin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,ceurta ala ds ca-,"graca dos
tromitos daza",forga dos Ca-,pr casa dae,at casa do legedor,largueza dos campos,Archivo da Casa,hixos d'cssas,Casa dos Chzes,sessaa ds Cuhtras termi-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,"a
Calcadinha",Caladinha,sedinha branca,Culcalu,"gallinhaca
dinheiro","Calcadinha
le Nilla-Clural",clcalI,"Calcadinha de
Yill-Clara",Cnlcadinha,Alcaide,Calcadinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,varands dos Cunhaes,"Cunhaesl
Li",Sunhes,Cunhacs,Cunhas,"Cu-
nhaes",Curhaes,Cnhaes,Cnhaeste,unhaes1,Cunhaes,Cunhau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
451,Soledl,solueou,consolad,tSolha,desolado:-,desolagio,solurnu,Solre,Solha,di solide:z.,so,solb,Sol,,,,,,,,,,,,,,,,,,,,,,,,,,,,
452,Noruhal,Noronhal,tamilia Noronhal,Nuronha,"conhero Men
3 Il",lonha,Ordonha,Noronhas,Noronha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
453,Jantimos,Famosa,agaa limosa,moc0 osvelto,Palacete dos fidalguissimos HBarrlos,ma teimosu,Mos-,Amnbos,Wamos,"loja do
liamos",Iumos,Formosa,Viemos,Mos,tao formosa,,,,,,,,,,,,,,,,,,,,,,,,,,
454,Gonealinho,Goncalinhol,tonealinho,Goucalinho,Gonalinho,Goncalinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455,tod0,Hgypto,torcet,Iortanto,mrto,Torto gemet,tortel,Toi,Porto,Mlurtosa,tod,tort4,Murtosa,Poto,Waltor,Torto,,,,,,,,,,,,,,,,,,,,,,,,,
456,Contrasta,Costa ue,Losta,Hstacuu,"cou10 ula
staca",acostiadu,Conselleiro Costa Barroso,Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,loio Gouvcia,Joao Gouvcia,Joio Gouvcia,loio ouvcia,Joiio Gouveia,lio Gouveia,portao Joio Gouveia,"MIas o
Joao Gouveia",Joaio Gouveia,Joao Gou-,Joio ouveia,Joio Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,Colera,elera d,Clerigo,otlerecia,uflereci,Eramn,d'hera,cmmudecera,lEra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,taio corto,Coraon,segtnda porta,Cortcs,Aor,Wortadas,Paorque,Porta,petaen de l'ortgul,Cortlor,Corldor,Cortaor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,Caminho de Ferro,"pergaminhh
luro",om camisa,lamina d'estanho,mnc cminho,"ca-
minho",Caminha,Caminho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461,tei,qte,Tempos,temp,tetl,ute,ete,ute i,Ctec,te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
462,U0,Mlarqucz do lancio,Mlarqu0s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
463,grlcvjou eom,grlcvjou,cvt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,conlidencia,pn,Carrespondenaia,Corresondencia vin-,Correspndencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465,Sabes,saber1,saberia narra,Sabels,Saber,Sabelor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,Palrc Sueiro,neiro trayo,bom rcndeiro,Janeiro,vczeiro,ilha dum carniceiro,jasmineiros,iroar,Conselheiro,ceitcei,Sueiro,meir,ceiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,
467,Mondes,Gongcalo Mlendes,Mlendcs,Mlesmo,Mlendes Iiaires,Mlendigo,Mlendes de Suuza,"Gonalo Mlendes
Hamires",pendes,"Mlendes Ilami-
res",Mlendo de IBrieiros,Mcndes,eseondessen1 U Olll1,alo Mlvendes,"Mlendes
Ramnires",Mlendes Ramiresl...,dependessc,Mlendes,,,,,,,,,,,,,,,,,,,,,,,
468,Ilereulanos,crepuseulo,l0,reul0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,Paris,paru,Remarigcs,lPar,marid0,Pari,paru ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,Jesuina,Qe,Jesuina-qe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
471,faeo,huraeo,d'alpaea,baeos,Pae,espaeo,Paea,Mlouaeo,Paeo,Iaeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,"hem sa-
es",Sunches,estupidissmn0 Santches,Sanchcs,W'inchester,Cheles,desmnanchava,Sanehes,Sancla,Sanches,sanches,manch0es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,Villa-Clava,Yill-Clara,Coneelho de Villa-Clara,illa-,Villalubs,Villa-Clura,Villn-Clara,Nilla Clara,"Villa-Clara
de noite",Villar londes,iIIa-Clara,Emn Villa-Clara,Vocs en Villa-Clara,Villar,"ViIa-
Clara",Villa lara,declaraia,YVilla-Clara,VilIa-Clara,Vill-Clara,Villalohsos,"Villa-
Clara",la-Clara,"Villa-
lara",vilan,ViIla-Clara,Villa-Clara 1 Torrc,Villa-Clara,Yilla-Clara,Villa-Cla,,,,,,,,,,,
474,Ilereules,Ileeha,Ilhodes,losles,lespcdacci,Cleves,Fsses Tanearvilles,Silves,ucles,IlES,anles,Simples,Novilles,Iles,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,Concalo,"Goncale
rovivia",tioncalo,"Goncale
n'um rijo abraco",Goncalo-colno,Goncalio,Goucaloe,"Goncale
csfregou",Goncnlo,Thessalonica,Goncalo Iami-,"Goncalo Ia-
ires",El-Rei - Goncale,Goncal,Goncale,Gongcalo,Entao Goncalo,grilou Goncalo,Gongca-,"IYMIIHS
Goncalo","louvadol
F Goncalo",tGonclo,Goncalo,,,,,,,,,,,,,,,,,,
476,Mlathilds,Iiel Mlatheus,Mlatheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,maos,scu eoraao:,gratidao,Iaos,Dbraos,verao,Raos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
