cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19
208.0,"Santissimo
Sacramento","Santis-
sima Trindade",Santis-,Santissimo,Santissimo Sacramento,Certissimo,,,,,,,,,,,,,,
209.0,concepgeoes dum,leoes,taeoes,,,,,,,,,,,,,,,,,
210.0,Eu u2ro0 ve,V. S,"Reco-
nheceu S. Sebastiao",,,,,,,,,,,,,,,,,
211.0,ELP2EPeELl9-9tam-aLl9ias,suaAm-,Sua Csa,,,,,,,,,,,,,,,,,
212.0,Sauide,Aui,aui,"baui de
lata",,,,,,,,,,,,,,,,
213.0,mao cheia,Sao cineo,sao ca,Sao baptizados,Sao,Sao coisas ue,,,,,,,,,,,,,,
214.0,"pas-
seiam",pas-,"pas-
seando",,,,,,,,,,,,,,,,,
215.0,abragcar,ragca s6,Coragces,la s6,Pragca,,,,,,,,,,,,,,,
216.0,Acordara,Engordara,pDara,Dara,Mudar,cdar,,,,,,,,,,,,,,
217.0,rua dos Condes,Condes,"Bem Pblicol
Onde","condessa.-
Bastante",,,,,,,,,,,,,,,,
218.0,Iongos,Ionge,longel,,,,,,,,,,,,,,,,,
219.0,instraa,instrugao,,,,,,,,,,,,,,,,,,
220.0,ar.- Acudam,"ar.- Acudam
Da",Acudaml-,,,,,,,,,,,,,,,,,
221.0,pavor,YIE,apavorads,Bavol bravol,Evora,,,,,,,,,,,,,,,
222.0,Dassos,ASSOMOlR,Assombrado,Associago das Servas,Passou-lhe,asso,Asstucio,CoOnfisso,Passou,Associago,,,,,,,,,,
223.0,Cortegaga,Cortegaca,pe da Cortegaca,,,,,,,,,,,,,,,,,
224.0,baiuca,baia,Baia,,,,,,,,,,,,,,,,,
225.0,VInha,Gertruudinhas,Minha,panelinha,travesscirinha,Vinha,TInha,madrinhal,galinha gorda,,,,,,,,,,,
226.0,Deois,Coisa,Pois,Dcpois,depoisl,Bois,,,,,,,,,,,,,,
227.0,Lausperee,Suspenda,Iegenda,,,,,,,,,,,,,,,,,
228.0,"rua da Miseri-
cordia",sos da Misericbrdia,"rua da
Miseric6rdia",rua da Miseri-,Miseric6rdia,rua da Miseric6rdia,"rua da Miseri-
c6rdia",rua da,rua da Misericordia,Miseric6r-,,,,,,,,,,
229.0,Havemos,Devem-no,chavena,Viveml,,,,,,,,,,,,,,,,
230.0,Setembro,Sol de Maio,Sol de Setembro,Hotel de Ville,Largas rcsteaz de Sol,"Sol
de Dezembro",,,,,,,,,,,,,,
231.0,Con-,Encolhia,Encon-,ripanco,lencol,,,,,,,,,,,,,,,
232.0,Ilogo,"S. Crisologo
S. Cipriano",ogo,"faga
fogo",Iogo,,,,,,,,,,,,,,,
233.0,baixo d,invcjando baixo,pinheiros baixos,Pinheiro,tectos baixos do curral,,,,,,,,,,,,,,,
234.0,la vait Tem sade,Cansadote,sade,,,,,,,,,,,,,,,,,
235.0,falandocom inuietacao,suiei,desinquietava,Quieta,,,,,,,,,,,,,,,,
236.0,Civilizacao,Civilizacao...,Civilicacdo,,,,,,,,,,,,,,,,,
237.0,Comendador de Cristo,o Cristo,Torre de Babel,Pobre de Cristol-,Pobre de Cristol- diizia Amaro.-,Cristol-,,,,,,,,,,,,,,
238.0,"Peni-
tencia",Silencio,Vlcetncia,decncia,Providencia,impenitencia,benevolencia,Gertrudes,Prudencia,Corespondencia,Agencia Havas,Vicencia,impudencia con-,leferencia,,,,,,
239.0,Deixa,Deixa-la,Deixa-las,,,,,,,,,,,,,,,,,
240.0,morera dum aneurisma,Morenal,Mor-,More-,"L'ABB
MoRET",,,,,,,,,,,,,,,
241.0,I.baninho3,"Libaninho de luvas pretas
cravo ao peito",Saiba,ninhol,Libaninho atris,Libaninho,"Libaninho mur-
murava",Joaninha,,,,,,,,,,,,
242.0,Parou,rouba,Daroguia,Darouia,Preparou-a,,,,,,,,,,,,,,,
243.0,acei,braceiava,gracejarl,Ceia,,,,,,,,,,,,,,,,
244.0,Abria,Riam,lamuria,riacho ue,gria,glria,,,,,,,,,,,,,,
245.0,Custou,cstou,custou1,,,,,,,,,,,,,,,,,
246.0,pondia,Indicava,Indigis,brandia,reprcendia,India,indiferenga,Ndio,preendia,,,,,,,,,,,
247.0,Inimigo,Digo,Iigoleto,Inimigol,,,,,,,,,,,,,,,,
248.0,Rua,Ruala,,,,,,,,,,,,,,,,,,
249.0,Comu-,Excomunhao,excomungadola,Comuni-,Uni-,,,,,,,,,,,,,,,
250.0,Garriffaldi,Maldito,Bendito,amaldicoava,Maldigaol,Ditosos,,,,,,,,,,,,,,
251.0,"Poli-
tica e da Historia",Historia,historla,,,,,,,,,,,,,,,,,
252.0,Sempre,Semprel-,semprel,Gempre,,,,,,,,,,,,,,,,
253.0,sobrc,sobrctudo,sObrCtudo,,,,,,,,,,,,,,,,,
254.0,Sabes,Sabla,Sabel,Sabe,,,,,,,,,,,,,,,,
255.0,Tejo,Vejo,Vejam,,,,,,,,,,,,,,,,,
256.0,Coitadinhal,coitaa,Ievita,Coitadita,Coitada,Coitaditas,,,,,,,,,,,,,,
257.0,iberall,Iiberal,Liberus,Percebera,,,,,,,,,,,,,,,,
258.0,Hoe est,Esteia,Est,Estcu,Estoeve,Estoico,,,,,,,,,,,,,,
259.0,"rg1IN,1III",III--0,"Iiii',2",Iii,xXIII,Eiiiiircicaieii,IIInpAIR  W,,,,,,,,,,,,,
260.0,limao,sorri,corrimao,mao,,,,,,,,,,,,,,,,
261.0,Aquilo,Raquitico,Aquie,xAqui,Dagqui,Aqul,,,,,,,,,,,,,,
262.0,pouc0,abusar1,Provarei,Repousarei,,,,,,,,,,,,,,,,
263.0,Chafariz,ariastlcn,Proletariado,padrariao,Sacrificaria,Cessaria,planeariam,Daria,Marialva,Mouraria,Faria,fard,Ifaria,,,,,,,
264.0,Nio,ue nio,Pavonio,,,,,,,,,,,,,,,,,
265.0,Ciu,merciuio,Ciumes,ciume.-,,,,,,,,,,,,,,,,
266.0,amanha,manhai,manhi,Amanha,manhal,Espanha,camphanha,,,,,,,,,,,,,
267.0,"Io
sio
oIIE",varoes,visoes,sioes,grilhoes,Camoes,,,,,,,,,,,,,,
268.0,"Totol
- Li",a Toto6-e,Totol,Toto,otozila,,,,,,,,,,,,,,,
269.0,Anaro,Aina,nar,Ainaro,,,,,,,,,,,,,,,,
270.0,Tirha,tira-mo:-,tiranico,Tira-mo,Tirado,,,,,,,,,,,,,,,
271.0,"tipo6-
grafo","sotainas ne-
grasla",sotainas,,,,,,,,,,,,,,,,,
272.0,"s6
sensagao",Ensina,Insensivel,,,,,,,,,,,,,,,,,
273.0,"caliinia das
calinias",calinia das calinias,,,,,,,,,,,,,,,,,,
274.0,PolLeLinterno,Inter-,intengiio,"RU
Intengao",,,,,,,,,,,,,,,,
