cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12
150,Le soleil,le soleil,Soleil,soleil,Le Soleil,le Soleil,,,,,,,
151,Jusice,nice,10n,delices,,,,,,,,,
152,mele,tele,nelee,sang-mele,meles,Elevee,le-,pele-mele,,,,,
153,Cordilleres,Accordez,Cordoue,BAzANcor,,,,,,,,,
154,aussi0,Mississipi,possible7,,,,,,,,,,
155,Meicains,Iexicaine,Mexico,Mexicains,gamUusinos mexicains,Mlexico,Americains,Lanceros mexicains,Les Mlexicains,Mlexi-,Mlexicains,camp des Mlexicains,
156,cendero,joindre.16,conde,Répondez,Indens,Inde,,,,,,,
157,etaitune,Mrisait,faitl,,,,,,,,,,
158,metropole,colere,Mole,lez,volez,,,,,,,,
159,Allemagne,calle San-Agustin,alluma,Caballero,,,,,,,,,
160,"I
Pas",ashahas,j-,pasto,pas,"malade7
- Pas moi",,,,,,,
161,DIt,luil,"Si
- Lui DIT",,,,,,,,,,
162,Ca,,,,,,,,,,,,
163,palais quil,Laisse,Anglais,Mlais,,,,,,,,,
164,grace,trc::r,demander7,Grand Chef des Aueas,bandilts,songrand,Grande,,,,,,
