cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14
191,"g;;gggggg,:,g",yettee-ggeyggggy,"G Giiii,'a
g2EgggggLgg21,P",gggygg-egg-e,gggg;;g,gggA,"ggg,,yggg",Agggge,"gggggg;,,e",gggL,,,,,
192,Regardez,Lu-,bard6,Hasard,gard,Leonarde,,,,,,,,,
193,sanctuaire Yoici lai,piresrue,Irent,le caire,altiree,grammire,vire,ae ien aire eee,lontaires,,,,,,
194,Rodolhe interloque,Interets,deuxinterlo--,,,,,,,,,,,,
195,pelsoue,mouel Y,youee,jouee,,,,,,,,,,,
196,Strasbourg,Bourse,Bourg,Bourgeois,Iis,,,,,,,,,,
197,Ies,Muriec,boiugies,Arries,Tuileries,Mairie,Tuilaries,,,,,,,,
198,travaileur,avaiont,avaienl,Iavait,,,,,,,,,,,
199,Eden,tenic,deenir,Godenars,oiecproeneni,denil,,,,,,,,,
200,solr,terrasso,Massol,Assis,,,,,,,,,,,
201,oroiuio,ckroix,Irois,roid,,,,,,,,,,,
202,nlre,mres,les letlres,aulres,,,,,,,,,,,
203,Mont-Cenis,Clermont-Mont-Saint-Jean,Gramont,cus,Mont-,Montcornet,Ilmontrait,Beauffremont,Montons,,,,,,
204,CpDmpte,Experience,Andrieux,serieux,ambilieux,serva,,,,,,,,,
205,ciet,fier,io ae tier,Arcier,,,,,,,,,,,
206,Mars,Pars,Marsay,,,,,,,,,,,,
207,aec,pretendil,pretendus,pretendue travsux,,,,,,,,,,,
208,meie esimable,Irable chaleur,diableI,Irable,,,,,,,,,,,
209,fiacre,Iac,BAL2IAC,,,,,,,,,,,,
210,Tre Monasteri,Io monet rexr ao vndenese30,mone,Io monet,,,,,,,,,,,
211,Desir,seides,a-adessi,ade Lennoi,deserte,ades,grndes,,,,,,,,
212,severe,Celte severe,Celte,,,,,,,,,,,,
213,Allemand,allees,allee,,,,,,,,,,,,
214,Floria,point-Florine,Flori-,Florineet,Florine,,,,,,,,,,
215,ariver,Rivarol,Charivari,varitablo,,,,,,,,,,,
216,--Je,Saiut-Jean,Saint-Jean,,,,,,,,,,,,
217,la piece,preiero piece apres,piece,,,,,,,,,,,,
218,Irancs,Franche-Comle,el blanche,hranche,,,,,,,,,,,
219,iois aoi,Bois,Ioi,iois,,,,,,,,,,,
220,monlagnes,Accpt,Agnes,gnagne,,,,,,,,,,,
221,braset lamena,sln',asese,Gymnase,,,,,,,,,,,
222,vis-h-vis d'elle apres,tomhe,sot vis-i-vis,vis-h-vis,,,,,,,,,,,
223,Legitimistes,Legitimite,,,,,,,,,,,,,
224,Heloise,Moise,la Comtoise,toiseme feis,oise,,,,,,,,,,
225,caleinee,Caroline,Tine,vergiss-mein,chein do,Seine,einei,Ceinre,succinet,,,,,,
226,presidenee,geneniogies,Genese,Genee,seienee,jurisprudenee,,,,,,,,,
227,aeecssoire,Loire,lasoirde,soiree,,,,,,,,,,,
228,fronldes grands hommes,Grandlieu,grandeiur,fodre iside pir plis ke fos vrandes I1,offtrandes,,,,,,,,,,
229,Irais,Serais,elh,Jaurais,Naurais-ie,Marais,,,,,,,,,
